; Function                      total-ticks   total-calls   ticks-per-call   total-percent
; cannot stat function _SystemRequest
  SystemInit                              7             1                7            0.00
  Task1                                1482             1             1482            0.01
  Task2                                 186             1              186            0.00
  main                                25356             1            25356            0.15
  TestMemory                       15141790             1         15141790           89.83
  HardwareInit                           40             1               40            0.00
  ExchangeRegs                        22638           343               66            0.13
  StringLength                        20052            36              557            0.12
  ScreenClear                        551415             1           551415            3.27
  PutCharacter                       544221           153             3557            3.23
  PutString                           46817             3            15605            0.28
  ConsoleInit                         10526             1            10526            0.06
  ConsoleWrite                       102871            34             3025            0.61
  MemoryInit                           5648             2             2824            0.03
  MemoryAllocate                       1224             4              306            0.01
  LocksInit                            5408             2             2704            0.03
  LockCreate                            492             2              246            0.00
  LockObtain                         124337            34             3656            0.74
  LockRelease                         13728            33              416            0.08
  LockQuery                           21021            77              273            0.12
  RegisterInterrupt                     239             1              239            0.00
  _InterruptService                    3175             5              635            0.02
  SchedulingInit                      11342             2             5671            0.07
  SetScheduler                          155             1              155            0.00
  Scheduler                            1638             7              234            0.01
  DefaultScheduler                     4040             7              577            0.02
  CreateTask                          41096             2            20548            0.24
  SupervisorMode                         45             1               45            0.00
  UserMode                             8321           157               53            0.05
  Pause                               30307           181              167            0.18
  Resume                              37737           182              207            0.22
  BroadcastEvent                      29080            33              881            0.17
  AwaitEvent                            604             2              302            0.00
  Switch                                642             2              321            0.00
  NewContext                           7706             7             1100            0.05
  ScheduleTask                         9826             7             1403            0.06
  IsMultitasking                       6483            71               91            0.04
  TimeInit                            14850             2             7425            0.09
  Tick                                  270             5               54            0.00
  KeyboardInit                         6192             1             6192            0.04
  PollKeyboard                         3630             5              726            0.02
; 16856791 t-states
